Feature,GridRef,Town,Address,Operator,Stone,Age,Group,Formation,Member,Operator,Tel,Fax,Email,Web
Broadmead Quarry,SY 985 786,Langton Matravers,"Acton, Langton Matravers, SWANAGE, Dorset",Haysom Purbeck Stone,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
California Quarry,SZ 017 773,Swanage,"Herston, SWANAGE, Dorset, BH19 2QS",Suttle Stone Quarries,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Suttle Purbeck Stone, California Quarry, Off Panorama Road, SWANAGE, Dorset, BH19 2RS",01929 423576,01929 427656,purbeckstone@suttles.co.uk,https://www.suttles.co.uk/suttle-purbeck-stone/
Camel Hill Quarry,ST 581 255,Queen Camel,"Queen Camel, YEOVIL, Somerset, BA22 7PL",A R Purnell Ltd.,White Lias and Blue Lias,Triassic–Jurassic,Penarth and Lias,"Lilstock, Blue Lias and Charmouth Mudstone",Langport,"A R Purnell Ltd., Ashen Cross Quarry, Catsgore Road, SOMERTON, Somerset, TA11 7JW",01458 274587,,sales@arpurnell.co.uk,https://arpurnell.co.uk/
Coombe Farm Quarry,SY 495 998,Mapperton,"Mapperton, BEAMINSTER, Dorset, DT8 3NS",Mike Higgins,Burton Limestone,Jurassic,Inferior Oolite,,Burton Limestone and Upper Inferior Oolite,"Mike Higgins, Coombe Farm Quarry, Mapperton, BEAMINSTER, Dorset",,,,
Coombefield Quarry,SY 690 705,Isle of Portland,"99 Easton Street, PORTLAND, Dorset, DT5 1BP",Stone Firms Ltd.,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Portland Stone Firms Ltd, 99 Easton Street, Portland, Dorset, DT5 1BP",01305 820331,01305 822935,sales@stonefirms.com,https://www.stonefirms.com/
"Doulting Quarry (Chelynch, Chelynch Wood)",ST 650 435,Shepton Mallet,"Chelynch Road, Doulting, SHEPTON MALLET, Somerset, BA4 4PZ",Doulting Stone Quarry,Doulting Stone,Jurassic,Inferior Oolite,,Doulting Stone,"Doulting Stone Quarry, Chelynch Road, Doulting, SHEPTON MALLET, Somerset, BA4 4PZ",01749 880608,01749 880703,sales@doultingstonequarry.co.uk,https://doultingstonequarry.co.uk/
Downs Quarry,SY 980 791,Langton Matravers,"Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",Lovell Stone Group Ltd.,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",08006 408793,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/lovell-purbeck
Dunscombe Manor Quarries,SY 160 887,Trow,"Dunscombe Manor Caravan Park, Trow, SIDMOUTH, Devon, EX10 0PN",Exeter Cathedral,Salcombe Stone,Cretaceous,Selborne,Upper Greensand,Bindon Sandstone,"Exeter Cathedral, 1 The Cloisters, EXETER, Devon, EX1 1HS",01392 255573,,,https://www.exeter-cathedral.org.uk/history-heritage/conservation-of-the-cathedral/medieval-quarry-provide-materials/
Frogden Quarry (Sherborne),ST 648 183,Sherborne,"Underdown Lane, Oborne, SHERBORNE, Dorset",Sherborne Stone Ltd.,Ooidal limestone,Jurassic,Inferior Oolite,,Sherborne Limestone and Combe Limestone (‘Rubbly Beds’),"Sherborne Stone Ltd., The Estate Office, Sherborne Castle, New Street, SHERBORNE, Dorset, DT9 5NR",01935 812546,,sales@sherbornestone.co.uk,https://sherbornestone.com/
"Hadspen Quarry (Grove Farm, Castle Cary)",ST 654 314,Hadspen,"Grove Farm, Lime Kiln Lane, Hadspen, CASTLE CARY, Somerset",Hadspen Quarry Ltd.,Hadspen Stone,Jurassic,Inferior Oolite,,Hadspen Stone,"Hadspen Quarry Ltd., Grove Farm Quarry, Lime Kiln Lane, Hadspen, CASTLECARY, Somerset, BA7 7NX",01963 351205,,info@hadspenquarry.co.uk,https://hadspenquarry.co.uk/
Ham Hill Quarry,ST 482 160,Stoke-sub-Hamdon,"Stoke-sub-Hamdon, YEOVIL, Somerset, TA14 6RW",Ham Hill Stone Co. Ltd.,Ham Hill Freestone,Jurassic,Lias,Bridport Sand,Ham Hill Limestone,"Harvey Stone, Ham Hill Masonry Works, Ham Hill, STOKE-SUB-HAMDON, Somerset, TA14 6RW",01935 824950,,,https://www.harveystone.co.uk/
Henbury Quarry (Henbury Plantation),SY 962 975,Corfe Mullen,"Old Market Road, Corfe Mullen, WIMBORNE, Dorset, BH21 3QZ",M B Wilkes Ltd.,Sand and Heathstone,Palaeogene,Bracklesham,Poole,,"M B Wilkes Ltd., Henbury Quarry, Old Market Road, Corfe Mullen, WIMBORNE, Dorset, BH21 3QZ",01258 857465,,info@mbwilkes.com,https://www.mbwilkes.com/
Hines Pit (Masters Pit),SY 879 880,Wareham,"Hines Pit, Gallows Hill, WAREHAM, Dorset",Hanson Aggregates,Sand,Palaeogene,Bracklesham,Poole,Broadstone Sand,"Hanson Aggregates, 14 Castle Hill, MAIDENHEAD, Berkshire, SL6 4JJ",01628 774100,,,
Hurdcott Quarry (Old Hurdcott),SU 050 299,Barford St. Martin,"Hurdcott Farm, Barford St Martin, SALISBURY, Wiltshire",Lovell Stone Group Ltd.,Hurdcott Greenstone,Cretaceous,Selborne,Upper Greensand,Boyne Hollow Chert,"Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",08006 408793,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/hurdcott-greenstone
Hyde Pit (Masters Pit),SY 861 889,Wareham,"Gallows Hill, WAREHAM, Dorset, BH20 7PJ",Hanson Aggregates,Sand,Palaeogene,Bracklesham,Poole,Parkstone Sand,"Hanson Aggregates, 14 Castle Hill, MAIDENHEAD, Berkshire, SL6 4JJ",01929 462214,01929 405296,,
Jordans Quarry & Mine,SY 688 720,Portland,"Easton Street, PORTLAND, Dorset",Albion Stone Plc,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Albion Stone PLC, Independent Offices, Easton Street, Portland, Dorset, DT5 1BW",01305 860369,01305 860379,enquiries@albionstone.com,https://www.albionstone.com/
Keates Quarry (Eastington No. 30),SY 985 782,Worth Matravers,"Worth Matravers, SWANAGE, Dorset,",Keates Quarries Ltd.,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Keates Quarries Ltd., 31 Eastington Road, Worth Matravers, SWANAGE, Dorset, BH19 3LF",01929 439207,,info@keatespurbeckstone.co.uk,http://www.keatespurbeckstone.co.uk/
"Knoll Manor Quarry (Red Lane, Knoll Manor Claypit)",SY 974 977,Corfe Mullen,"Knoll Manor, Corfe Mullen, WIMBORNE, Dorset",W+S Recycling Services,"Clay, Sand and Heathstone",Ypresian,Lambeth and Thames,"Reading, Harwich and London Clay",West Park Farm,"W+S Recycling Services, 14–16 Nuffield Road, Nuffield Industrial Estate, POOLE, Dorset, BH17 0RB",01202 675564,01202 670745,,https://dorsetrigs.org/southeastrigs/knollmanorpit/
"Landshire Lane Quarry (Stalbridge, Henstridge)",ST 715 186,Henstridge,"Landshire Lane, Henstridge, TEMPLECOMBE, Somerset",Stalbridge Quarries Ltd.,Forest Marble,Jurassic,Great Oolite,Forest Marble,,"Stalbridge Quarries Ltd., Sherborne Road, Henstridge, TEMPLECOMBE, Somerset, BA8 0PH",01963 364200,,info@stalbridgequarries.co.uk,https://www.stalbridge-quarries.co.uk/
Manor Farm Quarry (Shaftesbury Greenstone),ST 8750 2015,Melbury Abbas,"Manor Farm, Melbury Abbas, SHAFTESBURY, Dorset, SP7 0DZ,",Shaftesbury Greenstone,Melbury Sandstone,Cretaceous,Chalk,West Melbury Marly Chalk,Melbury Sandstone,"Shaftesbury Greenstone, Manor Farm, Melbury Abbas, SHAFTESBURY, Dorset, SP7 0DZ",01747 852643,01747 853123,,
Marnhull Quarry (Whiteway Lane),ST 793 179,Marnhull,"Whiteway Quarry, Whiteway Hill, Marnhull, STURMINSTER NEWTON, Dorset, DT10 1NQ",Marnhull Stone Ltd.,Todber Freestone,Jurassic,Corallian,Clavellata and Stour,Todber Freestone,"Marnhull Stone Ltd.,  Whiteway Quarry, Whiteway Hill, Marnhull, STURMINSTER NEWTON, Dorset, DT10 1NQ",01258 472419,01258 472903,info@marnhullstone.co.uk,https://www.marnhullstone.co.uk/
Masters North Pit (Stokeford Heath),SY 872 886,East Stoke,"Gallows Hill, East Stoke, WAREHAM, Dorset, BH20 7PJ",Holme Sand and Ballast LLP,Sand,Palaeogene,Bracklesham,Poole,Broadstone Sand and Parkstone Sand,"Holme Sand and Ballast LLP, Caird Avenue, NEW MILTON, Hampshire, BH25 5PX",01929 462214,01929 405296,,
Masters South Pit (Stokeford Heath),SY 870 883,East Stoke,"Gallows Hill, East Stoke, WAREHAM, Dorset, BH20 7PJ",Holme Sand and Ballast LLP,Sand,Palaeogene,Bracklesham,Poole,Parkstone Sand,"Holme Sand and Ballast LLP, Caird Avenue, NEW MILTON, Hampshire, BH25 5PX",01929 462214,01929 405296,,
Melbury Stone,ST 86687 20040,Melbury Abbas,"West Melbury Farm, Melbury Abbas, SHAFTESBURY, Dorset, SP7 0LX",Melbury Stone,Melbury Sandstone,Cretaceous,Chalk,West Melbury Marly Chalk,Melbury Sandstone,"Melbury Stone Ltd., West Melbury Farm, Melbury Abbas, Shaftesbury, Dorset, SP7 0LX",01747 812 798,,info@melburystone.co.uk,https://www.melburystone.co.uk/
"Monument Quarry (Ham Hill, North)",ST 478 172,Stoke-sub-Hamdon,"Ham Hill, Stoke-sub-Hamdon, YEOVIL, Somerset",Ham & Doulting Stone Co. Ltd.,Ham Hill Freestone,Jurassic,Lias,Bridport Sand,Ham Hill Limestone,"Ham & Doulting Stone Co. Ltd., Tout Quarry, Chessels Lane, Charlton Adam, SOMERTON, Somerset, TA11 7AN",01458 223166,,info@hamanddoultingstone.com,https://www.hamanddoultingstone.com/
Oddens Quarry (Linton Hill),SY 580 847,Abbotsbury,"Abbotsbury, WEYMOUTH, Dorset",Ilchester Estates,Abbotsbury Stone,Jurassic,Corallian,Osmington Oolite,,"Ilchester Estates, The Estate Office, Ilchester Estates, Melbury Sampford, DORCHESTER, Dorset, DT2 0LF",01935 482200,,,https://www.ilchester-estates.co.uk/
Perryfield Quarry,SY 694 711,Isle of Portland,"99 Easton Street, PORTLAND, Dorset, DT5 1BP",Stone Firms Ltd.,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Portland Stone Firms Ltd., 99 Easton Street, Portland, Dorset, DT5 1BP",01305 820331,01305 822935,sales@stonefirms.com,https://www.stonefirms.com/
Quarry Farm Quarry,ST 710 196,Henstridge,"Quarry Farm, Sherbourne Road, Henstridge, TEMPLECOMBE, Somerset",Stalbridge Quarries Ltd.,Forest Marble,Jurassic,Great Oolite,Forest Marble,,"Stalbridge Quarries Ltd., Sherborne Road, Henstridge, TEMPLECOMBE, Somerset, BA8 0PH",01963 364200,,info@stalbridgequarries.co.uk,https://www.stalbridge-quarries.co.uk/
Quarry Field,SY 991 777,Acton,"Acton 4 Quarry, Acton, SWANAGE, Dorset",Lovell Stone Group Ltd.,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",03332 544712,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/lovell-purbeck
Redbridge Road Quarry (Moreton Pit),SY 779 886,Crossways,"Redbridge Road, Crossways, DORCHESTER, Dorset",G Crook & Sons,Sand,Palaeogene,Bracklesham,Poole,,"G Crook & Sons, Lower Glebe Farm, West Knighton, DORCHESTER, Dorset, DT2 8PE",01305 852064,01305 854144,,
Redlands Quarry (Marnhull Stone Quarry),ST 797 197,Todber,"Redlands  Quarry, Red Lane, Todber, STURMINSTER NEWTON, Dorset, DT10 1HS",Marnhull Stone Quarries,Todber Freestone,Jurassic,Corallian,Stour,Todber Freestone,"Marnhull Stone Quarries, Redlands Lane, Todber, STURMINSTER NEWTON, Dorset, DT10 1HS ",01258 820712 ,,,https://www.marnhullstonequarries.com/
"South Downs Quarry (Downs, Downswood)",SY 978 790,Langton Matravers,"Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",Lovell Stone Group Ltd.,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",03332 544712,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/lovell-purbeck
Southard Quarry,SZ 023 776,Swanage,"SWANAGE, Dorset",Haysom Purbeck Stone,Purbeck Limestone,Cretaceous,Purbeck Limestone,Durlston,Stair Hole,"Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
Shapwick Grange Quarry (Uplyme),SY 313 919,Lyme Regis,"Uplyme Quarry, Uplyme, LYME REGIS, Dorset, DT7 3SP",David Lush and Son,Chalk,Cretaceous,Chalk,,,"David Lush and Son, Shapwick Quarry, Uplyme, LYME REGIS, Dorset, DT7 3SP",01297 444095,,,
St. Aldhelm’s Quarry (St Aldhelm’s Head),SY 964 760,Worth Matravers,"Worth Matravers, SWANAGE, Dorset",Haysom Purbeck Stone,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
St. Catherines Farm,ST 6785 0090,Cerne Abbas,"Cerne Abbas, DORCHESTER, Dorset, DT2 7SJ",St. Catherines Flint Products Ltd.,Flint,"Cretaceous, Palaeogene-Pleistocene ",Chalk,Seaford Chalk and Clay-with-Flints,,"St Catherines Flint Products Ltd., St Catherines Farm, Cerne Abbas, Dorchester, Dorset DT2 7SJ",01300 341376,01300 342030,enquiries@stcatherinesflint.co.uk,https://www.stcatherinesflint.co.uk/
Stalbridge Quarry,ST 712 194,Henstridge,"Henstridge, TEMPLECOMBE, Somerset",Stalbridge Quarries Ltd.,Forest Marble,Jurassic,Great Oolite,Forest Marble,,"Stalbridge Quarries Ltd, Sherborne Road, TEMPLECOMBE, Somerset, BA8 0PH",01963 364200,,info@stalbridgequarries.co.uk,https://www.stalbridge-quarries.co.uk/
"Swanage Quarry (Swanage Brickworks)",SZ 020 804,Swanage,"Godlingston, SWANAGE, Dorset, BH19 3DN",Ibstock Brick Ltd.,Clay, Cretaceous, Wealden,,,"Ibstock Brick Ltd., Leicester Road, IBSTOCK, Leicestershire, LE67 6HS",01929 422257,01929 425786,,http://www.ibstock.co.uk
"Swanworth Quarry (Fratton, Worth)",SY 970 781,Worth Matravers,"Worth Matravers, SWANAGE, Dorset, BH19 3LE",Suttle Stone Quarries,Portland Freestone,Jurassic,Portland,Portland Stone,Portland Freestone,"Suttle Stone Quarries, Swanworth Quarry, Worth Matravers, SWANAGE, Dorset, BH19 3LE",01929 439444,,info@suttles.co.uk,https://www.suttles.co.uk/
Tout Quarry,ST 537 283,Charlton Adam,"Chessels Lane, Charlton Adam, SOMERTON, Somerset, TA11 7AN",Ham & Doulting Stone Co. Ltd.,Blue Lias,Triassic–Jurassic,Lias,Blue Lias,,"Ham & Doulting Stone Co. Ltd., Tout Quarry, Chessels Lane, Charlton Adam, SOMERTON, Somerset, TA11 7AN",01458 223166,,info@hamanddoultingstone.com,https://www.hamanddoultingstone.com
West Cranmore (Cranmore) Quarry,ST 659 431,Cranmore,"Cranmore, SHEPTON MALLET, Somerset, BA4 4QP",Wolff Stone Ltd.,Doulting Stone,Jurassic,Inferior Oolite,,Doulting Stone,"Wolff Stone Ltd, Doulting Stone Works, West Cranmore Quarry, SHEPTON MALLET, Somerset, BA4 4QP",01749 880062,01749 880082,enquires@wolffstoneltd.com,http://www.wolffstoneltd.com/
Westfield Farm Quarry,ST 547 314,Keinton Mandeville,"Westfield Farm, Coombe Hill, KEINTON MANDEVILLE, Somerset, TA11 6DQ",Hadspen Quarry Ltd.,Blue Lias,Triassic-Jurassic,Lias,Blue Lias,,"Hadspen Quarry Ltd., Grove Farm Quarry, Lime Kiln Lane, Hadspen, CASTLECARY, Somerset, BA7 7NX",01963 351205,,info@hadspenquarry.co.uk,https://hadspenquarry.co.uk/
Whithill Quarry,ST 630 135,Lillington,"Lillington, SHERBORNE, Dorset",Sherborne Stone Ltd.,Forest Marble,Jurassic,Great Oolite,Forest Marble,,"Sherborne Stone Ltd., The Estate Office, Sherborne Castle, New Street, SHERBORNE, Dorset, DT9 5NR",01935 812546,,sales@sherbornestone.co.uk,https://sherbornestone.com/
